STATUS | wrapper  | 2015/07/28 15:52:57 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/07/28 15:53:01 | 2015-07-28 15:53:01,432  INFO [WrapperSimpleAppMain] org.springframework.security.config.http.HttpSecurityBeanDefinitionParser:266 - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, <autoLoginFilter>, order = 201, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 700, <org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0>, order = 1100, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1500, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2000, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2200, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2300, <switchUserFilter>, order = 2400]
INFO   | jvm 1    | 2015/07/28 15:53:01 | 2015-07-28 15:53:01,432  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-common-springmvc.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,692  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-common-subscribe.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,702  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-inspektr.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,712  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-mail.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,732  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-account.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,742  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-activiti.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,772  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-form.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,782  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-humantask.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,802  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-internal.xml]
